iso3,country,year,agricultural_land_ha,co2_fossil_industry_t,co2_landuse_change_t,agricultural_land_pct,forest_land_pct,pesticide_use_per_cropland_kg_ha,transport_ghg_emissions_mtco2e,total_species_count,endemic_species_small_range,species_high_extinction_risk,pct_households_irrigation,pct_households_fertilizer,freshwater_resources_per_capita,hazardous_waste_generated_kt,so2_emissions_per_capita,nox_emissions_per_capita,climatological_disasters_count
OMN,Oman,2023,1471730.0,,,4.75518578352181,0.0076226171243941,3.41,10.71,4322.0,89.0,99.0,,,706.1835099827987,689438.3,1.5709248115821144,0.1014701063481188,
PAK,Pakistan,2023,35995000.0,,,46.6933893731839,4.67242631797426,0.86,57.54,6996.0,118.0,138.0,,,,,,,2.0
PLW,Palau,2023,4300.0,,,9.34782608695652,90.5434782608696,10.8,0.14,4861.0,124.0,73.0,,,,,0.3757661006731638,0.2627348538129207,1.0
PSE,Palestine,2023,391200.0,,,64.9294605809129,1.68298755186722,11.91,,6391.0,7.0,128.0,,,,4572.0,,,
PAN,Panama,2023,2189966.2,,,29.522326772715,56.3439727689404,14.46,5.05,32359.0,753.0,1401.0,,,27166.15822606701,3094.699951171875,0.042899575723196,11.117590047034437,2.0
PNG,Papua New Guinea,2023,1405000.0,,,3.10250408514773,78.9541359360509,1.0,1.68,18962.0,1236.0,1000.0,,,,,6.460618403215091,3.2715853747391974,1.0
PRY,Paraguay,2023,21427000.0,,,54.1069421552674,38.5449252640128,3.98,8.07,12475.0,64.0,177.0,,,,,0.0426270456637146,9.681797583434426,2.0
PER,Peru,2023,24385560.0,,,19.05121875,56.103020234375,1.71,22.14,31935.0,1262.0,1051.0,,,77653.45655800469,2093460.1189,5.167871662067706,5.805108755647728,1.0
PHL,Philippines,2023,12722600.0,,,42.6689472448603,24.4600731126539,3.36,32.63,16960.0,813.0,403.0,,,,4823160.5886,6.725202559088222,4.646466252413471,2.0
POL,Poland,2023,14580000.0,,,47.6050543637967,31.0804192379273,1.73,68.13,36330.0,24.0,477.0,,,1087.5804755048798,2254848.0,10.223767252948496,15.409188459661722,1.0
PRT,Portugal,2023,3969959.8,,,43.33752194189,36.154994891142,4.35,15.84,25224.0,691.0,784.0,,,2422.2440453532854,935261.0,3.989714452240869,13.067505826980566,7.0
PRI,Puerto Rico,2023,168900.0,,,19.0417136414882,56.1217587373168,,,9549.0,297.0,452.0,,,,,,,1.0
QAT,Qatar,2023,74000.0,,,6.44038294168842,0.0,35.11,12.49,2137.0,2.0,32.0,,,91.45250948863924,,118.11815262290092,144.19245576929865,
